FID,installation_type,receiver_name,deployment_date,recovery_date,receiver_status,active,geom,imos_b
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH01,ARRAY,VR2W-138295,2026-06-27T02:55:00Z,,,Active,POINT (138.45 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH02,ARRAY,VR2W-138291,2026-06-11T03:55:00Z,,,Active,POINT (138.45 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH03,ARRAY,VR2W-101744,2024-05-08T01:55:00Z,2025-06-04T02:20:00Z,RECOVERED,Inactive,POINT (138.46 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH04,ARRAY,VR2W-101799,2024-05-08T04:50:00Z,2025-06-04T01:30:00Z,RECOVERED,Inactive,POINT (138.45 -35.12),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH05,ARRAY,VR2W-101740,2024-05-08T00:50:00Z,2025-06-11T00:35:00Z,RECOVERED,Inactive,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH06,ARRAY,VR2W-109105,2024-05-08T02:30:00Z,2025-06-04T02:30:00Z,LOST,Inactive,POINT (138.46 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH07,ARRAY,VR2W-124457,2024-03-27T23:20:00Z,2025-06-04T02:59:00Z,RECOVERED,Inactive,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH08,ARRAY,VR2W-114579,2024-05-08T03:30:00Z,2025-06-11T01:20:00Z,RECOVERED,Inactive,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH09,ARRAY,VR2Tx-482873,2024-05-21T23:10:00Z,2025-06-11T02:30:00Z,RECOVERED,Inactive,POINT (138.45 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH10,ARRAY,VR2W-101780,2024-05-08T02:15:00Z,2025-06-27T05:20:00Z,RECOVERED,Inactive,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH11,ARRAY,VR2W-115340,2026-06-11T02:05:00Z,,,Active,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH12,ARRAY,VR2Tx-483950,2026-06-07T02:00:00Z,,,Active,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH13,ARRAY,VR2W-101740,2026-06-27T04:25:00Z,,,Active,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH14,ARRAY,VR2W-101338,2026-06-27T01:00:00Z,,,Active,POINT (138.45 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH15,ARRAY,VR2AR-552618,2026-06-11T00:26:00Z,,,Active,POINT (138.44 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.CH16,ARRAY,VR2AR-551359,2026-06-11T00:55:00Z,,,Active,POINT (138.44 -35.13),false
acoustic_installation_summary_map.Adelaide metro monitoring.Christies Beach array.PN01,ARRAY,VR2Tx-483942,2026-06-27T03:30:00Z,,,Active,POINT (138.46 -35.14),false
acoustic_installation_summary_map.Adelaide metro monitoring.Glenelg receivers.GL01,SINGLE,VR2W-103306,2026-06-23T03:05:00Z,,,Active,POINT (138.49 -34.97),false
acoustic_installation_summary_map.Adelaide metro monitoring.Glenelg receivers.GL02,SINGLE,VR2W-109626,2026-06-23T02:15:00Z,,,Active,POINT (138.49 -34.97),false
acoustic_installation_summary_map.Adelaide metro monitoring.Grange Receiver.GR01,SINGLE,VR2W-114579,2026-07-06T06:25:00Z,,,Active,POINT (138.48 -34.9),false
acoustic_installation_summary_map.Adelaide metro monitoring.Hallett Cove.HA01,ARRAY,VR2W-101686,2026-06-22T04:35:00Z,,,Active,POINT (138.49 -35.07),false
acoustic_installation_summary_map.Adelaide metro monitoring.Hallett Cove.HA02,ARRAY,VR2W-101799,2026-06-22T02:42:00Z,,,Active,POINT (138.48 -35.08),false
acoustic_installation_summary_map.Adelaide metro monitoring.Henley Beach Receivers.HB01,ARRAY,VR2W-138287,2022-07-08T23:17:00Z,2024-05-22T05:00:00Z,LOST,Inactive,POINT (138.49 -34.93),false
acoustic_installation_summary_map.Adelaide metro monitoring.Henley Beach Receivers.HB02,ARRAY,VR2W-101681,2026-06-23T04:15:00Z,,,Active,POINT (138.49 -34.93),false
acoustic_installation_summary_map.Adelaide metro monitoring.Henley Beach Receivers.HB03,ARRAY,VR2W-101764,2026-06-23T05:00:00Z,,,Active,POINT (138.48 -34.91),false
acoustic_installation_summary_map.Adelaide metro monitoring.Largs Bay Receiver.LB01,SINGLE,VR2W-124457,2026-07-06T04:03:00Z,,,Active,POINT (138.48 -34.82),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS01,ARRAY,VR2W-109624,2024-05-15T03:18:00Z,2025-06-13T00:35:00Z,RECOVERED,Inactive,POINT (138.21 -34.56),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS02,ARRAY,VR2W-106895,2024-05-15T03:34:00Z,2025-06-13T01:00:00Z,RECOVERED,Inactive,POINT (138.21 -34.56),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS03,ARRAY,VR2W-113122,2024-05-15T03:44:00Z,2025-06-13T01:24:00Z,RECOVERED,Inactive,POINT (138.22 -34.56),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS04,ARRAY,VR2W-109628,2024-05-15T03:08:00Z,2025-06-13T02:35:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS05,ARRAY,VR2W-101673,2024-05-15T02:56:00Z,2025-06-13T02:08:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS06,ARRAY,VR2W-113114,2024-05-15T02:38:00Z,2025-06-13T01:50:00Z,RECOVERED,Inactive,POINT (138.22 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS07,ARRAY,VR2W-103308,2024-05-15T01:41:00Z,2025-06-13T03:05:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS08,ARRAY,VR2W-110641,2024-05-15T01:51:00Z,2025-06-13T03:26:00Z,RECOVERED,Inactive,POINT (138.21 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS09,ARRAY,VR2W-114559,2024-05-15T02:06:00Z,2025-06-13T03:47:00Z,RECOVERED,Inactive,POINT (138.22 -34.57),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS10,ARRAY,VR2W-109627,2024-05-15T01:26:00Z,2025-06-13T04:48:00Z,RECOVERED,Inactive,POINT (138.21 -34.58),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS11,ARRAY,VR2W-115335,2024-05-15T01:16:00Z,2025-06-13T04:26:00Z,RECOVERED,Inactive,POINT (138.21 -34.58),false
acoustic_installation_summary_map.Adelaide metro monitoring.Long Spit array.LS12,ARRAY,VR2W-101117,2024-05-15T01:01:00Z,2025-06-13T04:07:00Z,RECOVERED,Inactive,POINT (138.22 -34.58),false
acoustic_installation_summary_map.Adelaide metro monitoring.Lonsdale area.DE01,ARRAY,VR2W-138284,2026-06-22T02:00:00Z,,,Active,POINT (138.46 -35.09),false
acoustic_installation_summary_map.Adelaide metro monitoring.Lonsdale area.PS01,ARRAY,VR2W-138292,2026-06-27T02:35:00Z,,,Active,POINT (138.46 -35.1),false
acoustic_installation_summary_map.Adelaide metro monitoring.Marino.MA01,ARRAY,VR2W-101798,2026-06-22T05:48:00Z,,,Active,POINT (138.5 -35.04),false
acoustic_installation_summary_map.Adelaide metro monitoring.Marino.MA02,ARRAY,VR2W-138294,2026-06-27T02:05:00Z,,,Active,POINT (138.49 -35.05),false
acoustic_installation_summary_map.Adelaide metro monitoring.Marino.MA03,ARRAY,VR2W-135192,2026-06-27T01:45:00Z,,,Active,POINT (138.49 -35.06),false
acoustic_installation_summary_map.Adelaide metro monitoring.Onkaparinga.ONK01,SINGLE,VR2W-114688,2025-09-27T04:00:00Z,,,Active,POINT (138.47 -35.15),false
acoustic_installation_summary_map.Adelaide metro monitoring.Onkaparinga.ONK02,SINGLE,VR2AR-545665,2026-06-11T07:10:00Z,,,Active,POINT (138.45 -35.16),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.BR01,ARRAY,VR2Tx-491805,2026-06-22T07:20:00Z,,,Active,POINT (138.51 -35.01),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE01,ARRAY,VR2W-101685,2024-03-08T03:15:00Z,2025-05-02T00:25:00Z,RECOVERED,Inactive,POINT (138.5 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE02,ARRAY,VR2W-103306,2024-03-08T00:00:00Z,2025-05-02T02:50:00Z,RECOVERED,Inactive,POINT (138.5 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE03,ARRAY,VR2W-101672,2024-03-08T02:40:00Z,2025-05-02T00:50:00Z,RECOVERED,Inactive,POINT (138.51 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE04,ARRAY,VR2Tx-483968,2026-06-22T06:25:00Z,,,Active,POINT (138.5 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE05,ARRAY,VR2W-138285,2024-03-08T01:15:00Z,2025-05-02T01:17:00Z,RECOVERED,Inactive,POINT (138.51 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE06,ARRAY,VR2W-109626,2024-03-08T00:45:00Z,2025-05-02T01:50:00Z,RECOVERED,Inactive,POINT (138.5 -35.02),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE07,ARRAY,VR2W-101760,2024-07-04T01:37:00Z,2025-05-05T01:40:00Z,RECOVERED,Inactive,POINT (138.51 -35.02),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE08,ARRAY,VR2Tx-483943,2026-06-22T00:30:00Z,,,Active,POINT (138.51 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SE09,ARRAY,VR2W-101747,2026-06-22T06:45:00Z,,,Active,POINT (138.5 -35.02),false
acoustic_installation_summary_map.Adelaide metro monitoring.Seacliff array.SeacliffReef,ARRAY,VR2W-101672,2026-06-22T04:00:00Z,,,Active,POINT (138.49 -35.03),false
acoustic_installation_summary_map.Adelaide metro monitoring.Semaphore Receivers.SEM01,ARRAY,VR2W-137880,2026-07-06T05:35:00Z,,,Active,POINT (138.47 -34.85),false
acoustic_installation_summary_map.Adelaide metro monitoring.Semaphore Receivers.SEM02,ARRAY,VR2W-101754,2026-07-06T04:57:00Z,,,Active,POINT (138.47 -34.84),false
acoustic_installation_summary_map.Adelaide metro monitoring.Semaphore Receivers.SEM03,ARRAY,VR2W-113946,2026-07-06T04:30:00Z,,,Active,POINT (138.47 -34.83),false
acoustic_installation_summary_map.Adelaide metro monitoring.St Kilda Receivers.SK01,ARRAY,VR2W-101780,2026-07-07T03:15:00Z,,,Active,POINT (138.51 -34.74),false
acoustic_installation_summary_map.Adelaide metro monitoring.St Kilda Receivers.SK02,ARRAY,VR2W-115341,2026-07-07T03:55:00Z,,,Active,POINT (138.51 -34.75),false
acoustic_installation_summary_map.Adelaide metro monitoring.St Kilda Receivers.SK03,ARRAY,VR2W-101670,2026-07-06T03:15:00Z,,,Active,POINT (138.46 -34.73),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE01,ARRAY,VR2W-122577,2018-12-06T03:31:56Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.83 -13.81),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE02,ARRAY,VR2W-113117,2018-12-06T03:02:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.83 -13.81),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE03,ARRAY,VR2W-113118,2018-12-06T03:43:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.82 -13.81),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE04,ARRAY,VR2W-114543,2018-12-06T02:51:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.82 -13.82),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE05,ARRAY,VR2W-120745,2018-12-06T02:45:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.83 -13.83),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE06,ARRAY,VR2W-120747,2018-12-06T03:55:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.81 -13.82),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE07,ARRAY,VR2W-106664,2018-12-06T04:10:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.82 -13.83),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE08,ARRAY,VR2W-113124,2018-12-06T01:30:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.82 -13.84),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE09,ARRAY,VR2W-113129,2018-12-06T04:26:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.8 -13.83),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE10,ARRAY,VR2W-114554,2018-12-06T01:47:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.81 -13.84),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE11,ARRAY,VR2W-105857,2018-12-06T05:36:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.79 -13.83),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE12,ARRAY,VR2W-122575,2018-12-06T05:12:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.78 -13.83),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE13,ARRAY,VR2W-104182,2018-12-06T05:30:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.79 -13.82),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE14,ARRAY,VR2W-120746,2018-12-06T05:19:00Z,2019-10-11T00:30:00Z,RECOVERED,Inactive,POINT (136.77 -13.83),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE15,ARRAY,,,,,Inactive,POINT (136.8 -13.85),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE16,ARRAY,,,,,Inactive,POINT (136.8 -13.85),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE17,ARRAY,,,,,Inactive,POINT (136.78 -13.84),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE18,ARRAY,,,,,Inactive,POINT (136.8 -13.84),false
acoustic_installation_summary_map.AIMS Quantifying the use of Indigenous Marine Protected Areas by threatened bycatch species adjacent to highly productive fishing grounds.Groote Eylandt.GE19,ARRAY,,,,,Inactive,POINT (136.81 -13.85),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.AIMS Pontoon,CURTAIN,VR2W-101756,2010-08-25T01:54:00Z,2011-11-02T23:30:00Z,RECOVERED,Inactive,POINT (147.05 -19.27),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.AIMS small pontoon,CURTAIN,VR2W-109088,2010-11-02T23:30:00Z,2011-11-10T03:57:11Z,RECOVERED,Inactive,POINT (147.05 -19.27),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.New Position WP1,CURTAIN,VR2W-109091,2011-11-23T00:00:00Z,,,Inactive,POINT (147.05 -19.27),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 1,CURTAIN,VR2W-107804,2011-12-06T06:20:00Z,2012-11-08T05:06:24Z,RECOVERED,Inactive,POINT (147.05 -19.27),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 10,CURTAIN,VR2W-109089,2010-10-26T23:30:00Z,2011-11-10T00:20:03Z,RECOVERED,Inactive,POINT (147.06 -19.25),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 11,CURTAIN,VR2W-106919,2010-08-24T23:30:00Z,2012-11-08T05:24:03Z,RECOVERED,Inactive,POINT (147.06 -19.25),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 12,CURTAIN,VR2W-101755,2010-08-25T01:20:00Z,2011-11-10T00:45:12Z,RECOVERED,Inactive,POINT (147.06 -19.25),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 2,CURTAIN,VR2W-101757,2010-08-24T23:33:00Z,2011-11-08T23:47:13Z,RECOVERED,Inactive,POINT (147.05 -19.28),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 3,CURTAIN,VR2W-109092,2010-08-25T00:00:00Z,2012-10-16T03:52:01Z,RECOVERED,Inactive,POINT (147.05 -19.28),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 4,CURTAIN,VR2W-106918,2010-08-25T00:16:00Z,2011-11-09T01:27:47Z,RECOVERED,Inactive,POINT (147.06 -19.28),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 5,CURTAIN,VR2W-109086,2010-10-26T23:30:00Z,2012-11-08T04:43:50Z,RECOVERED,Inactive,POINT (147.06 -19.28),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 6,CURTAIN,VR2W-109090,2010-10-26T23:30:00Z,2012-11-08T05:19:36Z,RECOVERED,Inactive,POINT (147.06 -19.27),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 7,CURTAIN,VR2W-109093,2010-10-24T23:30:00Z,2012-11-08T05:18:43Z,RECOVERED,Inactive,POINT (147.06 -19.27),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 8,CURTAIN,VR2W-109085,2010-08-24T23:30:00Z,2012-10-03T23:39:07Z,RECOVERED,Inactive,POINT (147.06 -19.26),false
acoustic_installation_summary_map.AIMS Scientific Zone.AIMS Scientific Zone Townsville.SSRZ 9,CURTAIN,VR2W-109094,2010-08-24T23:30:00Z,2011-11-09T23:56:40Z,RECOVERED,Inactive,POINT (147.06 -19.26),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Adventure Bay,ARRAY,,,,,Inactive,POINT (147.32 -43.34),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Bridport,ARRAY,VR2W-121398,2024-10-13T01:00:00Z,2025-06-16T00:00:00Z,RECOVERED,Inactive,POINT (147.43 -40.98),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Burnie,ARRAY,VR2W-114646,2023-09-10T19:09:00Z,2024-04-09T19:09:00Z,RECOVERED,Inactive,POINT (145.84 -41.01),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Devonport,ARRAY,VR2W-109791,2024-10-13T01:00:00Z,2025-06-16T00:00:00Z,RECOVERED,Inactive,POINT (146.4 -41.14),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Fredrick Henry Bay I,ARRAY,VR2W-121386,2024-09-29T00:00:00Z,2025-01-12T22:11:00Z,RECOVERED,Inactive,POINT (147.56 -42.98),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Fredrick Henry Bay II,ARRAY,VR2W-114658,2024-09-29T00:00:00Z,2025-06-15T02:00:00Z,RECOVERED,Inactive,POINT (147.63 -42.89),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Freycinet,ARRAY,,,,,Inactive,POINT (148.48 -42.21),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Great Bay I,ARRAY,VR2W-109784,2024-09-28T00:00:00Z,2025-06-14T01:00:00Z,RECOVERED,Inactive,POINT (148.17 -42.17),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Great Bay II,ARRAY,VR2W-121398,2023-09-30T18:18:00Z,2024-04-09T19:19:00Z,RECOVERED,Inactive,POINT (148.17 -42.17),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Little Swanport,ARRAY,VR2W-121370,2024-09-28T01:00:00Z,2025-06-15T04:00:00Z,RECOVERED,Inactive,POINT (148.03 -42.29),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Low Head,ARRAY,VR2W-109792,2024-10-13T01:00:00Z,2025-06-15T00:00:00Z,RECOVERED,Inactive,POINT (146.78 -41.03),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Marion Bay,ARRAY,VR2W-121392,2024-09-28T01:00:00Z,2025-01-12T22:10:00Z,RECOVERED,Inactive,POINT (147.93 -42.84),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Norfolk Bay,ARRAY,VR2W-121395,2024-09-29T01:00:00Z,2025-06-15T01:00:00Z,RECOVERED,Inactive,POINT (147.73 -42.94),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.St Helens,ARRAY,VR2W-114646,2024-09-24T01:00:00Z,2025-06-14T02:00:00Z,RECOVERED,Inactive,POINT (148.4 -41.24),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Storm Bay,ARRAY,VR2W-109789,2024-09-29T00:00:00Z,2025-06-15T03:00:00Z,RECOVERED,Inactive,POINT (147.47 -43.07),false
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Tasman (Foxy's Reef),ARRAY,VR2W-109634,2024-09-28T00:00:00Z,2025-06-14T00:00:00Z,RECOVERED,Inactive,POINT (148.03 -43.09),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B1,ARRAY,VR2W-114410,2020-03-19T03:20:00Z,2021-12-15T02:59:00Z,RECOVERED,Inactive,POINT (150.55 -35.21),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B10,ARRAY,VR2W-121135,2020-03-18T23:35:00Z,2021-12-14T22:37:00Z,RECOVERED,Inactive,POINT (150.51 -35.27),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B2,ARRAY,VR2W-100739,2020-03-19T02:08:00Z,2021-12-14T23:30:00Z,LOST,Inactive,POINT (150.54 -35.22),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B3,ARRAY,VR2W-121141,2020-03-19T03:40:00Z,2021-12-15T02:13:00Z,RECOVERED,Inactive,POINT (150.53 -35.22),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B4,ARRAY,VR2W-114415,2020-03-19T01:44:00Z,2021-12-15T00:37:00Z,RECOVERED,Inactive,POINT (150.53 -35.23),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B5,ARRAY,VR2W-114411,2020-03-19T01:24:00Z,2021-12-15T00:19:00Z,RECOVERED,Inactive,POINT (150.53 -35.23),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B6,ARRAY,VR2W-106293,2020-03-19T01:04:00Z,2021-12-14T23:30:00Z,RECOVERED,Inactive,POINT (150.53 -35.24),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B7,ARRAY,VR2W-123873,2020-03-19T00:48:00Z,2021-12-14T23:39:00Z,RECOVERED,Inactive,POINT (150.54 -35.24),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B8,ARRAY,VR2W-111072,2020-03-19T00:24:00Z,2021-12-14T23:00:00Z,LOST,Inactive,POINT (150.54 -35.25),false
acoustic_installation_summary_map.Bendalong Array.Bendalong Array.B9,ARRAY,VR2W-110476,2020-03-18T23:59:00Z,2021-12-14T23:02:00Z,RECOVERED,Inactive,POINT (150.52 -35.25),false
acoustic_installation_summary_map.Billfish Project.DES Billfish.Pope Schoal,ARRAY,VR2AR-546936,2025-07-27T03:05:00Z,,,Active,POINT (149.61 -20.49),false
acoustic_installation_summary_map.Billfish Project.DES Billfish.Shipping Channel Rock,ARRAY,VR2AR-546935,2025-06-01T20:52:00Z,,,Active,POINT (149.75 -20.77),false
acoustic_installation_summary_map.Biopixel Oceans Foundation.Essential Hammerhead Habitats.Bramble Reef - Cephalopod Garden,ARRAY,VR2W-137058,2025-08-17T02:39:00Z,,,Active,POINT (146.7 -18.38),false
acoustic_installation_summary_map.Biopixel Oceans Foundation.Essential Hammerhead Habitats.Brisk Channel,ARRAY,VR2Tx-481674,2025-04-05T00:30:00Z,2025-09-28T23:54:00Z,RECOVERED,Inactive,POINT (146.53 -18.77),false
acoustic_installation_summary_map.Biopixel Oceans Foundation.Essential Hammerhead Habitats.Curacao South,ARRAY,VR2Tx-485245,2025-04-05T02:04:00Z,2025-09-30T00:15:00Z,RECOVERED,Inactive,POINT (146.55 -18.67),false
acoustic_installation_summary_map.Biopixel Oceans Foundation.Essential Hammerhead Habitats.Fantome Reef Flat,ARRAY,VR2Tx-485239,2025-04-05T03:15:00Z,2025-09-30T01:45:00Z,RECOVERED,Inactive,POINT (146.5 -18.68),false
