FID,installation_type,receiver_name,deployment_date,recovery_date,receiver_status,active,geom,imos_b
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT17,CURTAIN,VR2W-120780,2012-12-17T05:10:00Z,2014-02-13T00:00:00Z,RECOVERED,Inactive,POINT (115.6 -32.01),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT18,CURTAIN,VR2W-120777,2012-12-17T05:40:00Z,2014-02-14T00:00:00Z,RECOVERED,Inactive,POINT (115.59 -32.01),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT19,CURTAIN,VR2W-101426,2012-12-20T03:40:00Z,2014-02-14T00:00:00Z,RECOVERED,Inactive,POINT (115.59 -32.01),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT20,CURTAIN,VR2W-104520,2012-12-20T04:06:00Z,2014-02-14T00:00:00Z,RECOVERED,Inactive,POINT (115.58 -32.01),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT21,CURTAIN,VR2W-104497,2012-12-20T04:25:00Z,2014-02-14T00:00:00Z,RECOVERED,Inactive,POINT (115.57 -32.01),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT22,CURTAIN,VR2W-106600,2012-12-20T04:45:00Z,2014-02-14T00:00:00Z,RECOVERED,Inactive,POINT (115.56 -32.01),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT23,CURTAIN,VR2W-104508,2012-12-20T05:05:00Z,2014-02-14T00:00:00Z,RECOVERED,Inactive,POINT (115.56 -32),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT24,CURTAIN,VR2W-134702,2022-02-03T06:26:00Z,2025-04-30T06:28:00Z,LOST,Inactive,POINT (115.44 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT25,CURTAIN,VR2W-119418,2022-02-03T05:52:00Z,2025-05-09T05:19:00Z,LOST,Inactive,POINT (115.43 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT26,CURTAIN,VR2W-104526,2022-07-07T09:10:00Z,,,Inactive,POINT (115.42 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT27,CURTAIN,VR2Tx-482484,2024-02-02T08:19:00Z,2025-11-20T01:58:00Z,RECOVERED,Inactive,POINT (115.42 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT28,CURTAIN,VR2Tx-485352,2024-02-02T08:15:00Z,2025-11-20T02:36:00Z,RECOVERED,Inactive,POINT (115.41 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT29,CURTAIN,VR2Tx-485363,2024-02-02T08:11:00Z,2025-11-18T08:04:00Z,RECOVERED,Inactive,POINT (115.4 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT30,CURTAIN,VR2Tx-482502,2024-02-02T08:08:00Z,2025-11-20T03:06:00Z,RECOVERED,Inactive,POINT (115.39 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT31,CURTAIN,VR2Tx-482538,2024-02-02T08:02:00Z,2025-11-20T03:31:00Z,RECOVERED,Inactive,POINT (115.38 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT32,CURTAIN,VR2Tx-482545,2024-02-02T07:56:00Z,2025-11-11T00:38:00Z,RECOVERED,Inactive,POINT (115.38 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT33,CURTAIN,VR2Tx-482540,2024-02-02T07:54:00Z,,,Inactive,POINT (115.37 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT34,CURTAIN,VR2Tx-482495,2024-02-02T07:51:00Z,,,Inactive,POINT (115.36 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT35,CURTAIN,VR2Tx-485364,2024-02-02T07:49:00Z,,,Inactive,POINT (115.35 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT36,CURTAIN,VR2Tx-485370,2024-02-02T07:46:00Z,,,Inactive,POINT (115.34 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT37,CURTAIN,VR2Tx-485351,2024-02-02T07:43:00Z,,,Inactive,POINT (115.34 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT38,CURTAIN,VR2Tx-482512,2024-02-02T07:40:00Z,,,Inactive,POINT (115.33 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT39,CURTAIN,VR2Tx-485372,2024-02-02T08:38:00Z,,,Inactive,POINT (115.32 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT40,CURTAIN,VR2Tx-482527,2024-02-02T07:35:00Z,,,Inactive,POINT (115.31 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT41,CURTAIN,VR2Tx-482537,2024-02-02T07:32:00Z,,,Inactive,POINT (115.3 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT42,CURTAIN,VR2Tx-482487,2024-02-02T07:30:00Z,2025-11-11T03:16:00Z,RECOVERED,Inactive,POINT (115.3 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT43,CURTAIN,VR2Tx-485361,2024-02-02T07:26:00Z,2025-11-11T03:46:00Z,RECOVERED,Inactive,POINT (115.29 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT44,CURTAIN,VR2Tx-485371,2024-02-02T07:23:00Z,2025-11-11T05:50:00Z,RECOVERED,Inactive,POINT (115.28 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT45,CURTAIN,VR2Tx-482548,2024-02-02T07:20:00Z,,,Inactive,POINT (115.27 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT46,CURTAIN,VR2Tx-485362,2024-02-02T07:17:00Z,2025-11-11T07:44:00Z,RECOVERED,Inactive,POINT (115.26 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT47,CURTAIN,VR2Tx-482485,2024-02-02T07:10:00Z,2025-11-18T04:15:00Z,RECOVERED,Inactive,POINT (115.26 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT48,CURTAIN,VR2Tx-485355,2024-02-02T07:08:00Z,2025-11-18T04:56:00Z,RECOVERED,Inactive,POINT (115.25 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT49,CURTAIN,VR2Tx-485377,2024-02-02T07:05:00Z,2025-11-18T05:03:00Z,RECOVERED,Inactive,POINT (115.24 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT50,CURTAIN,VR2Tx-485349,2024-02-02T07:02:00Z,2025-11-19T03:45:00Z,RECOVERED,Inactive,POINT (115.23 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT51,CURTAIN,VR2Tx-482505,2024-02-02T06:58:00Z,2025-11-19T05:13:00Z,RECOVERED,Inactive,POINT (115.22 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT52,CURTAIN,VR2Tx-482525,2024-02-02T06:55:00Z,2025-11-19T06:41:00Z,RECOVERED,Inactive,POINT (115.21 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT53,CURTAIN,VR2Tx-485366,2024-02-02T06:49:00Z,,,Inactive,POINT (115.21 -32.02),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT54,CURTAIN,VR2Tx-482499,2022-02-03T05:06:00Z,2025-05-01T01:10:00Z,RECOVERED,Inactive,POINT (115.53 -32.03),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT55,CURTAIN,VR2W-134679,2022-02-04T00:57:00Z,2025-05-09T06:11:00Z,RECOVERED,Inactive,POINT (115.53 -32.03),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT56,CURTAIN,VR2W-134698,2022-02-04T00:27:00Z,2025-05-01T05:52:00Z,RECOVERED,Inactive,POINT (115.54 -32.04),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT57,CURTAIN,VR2W-134689,2022-02-04T00:00:00Z,2025-05-09T03:49:00Z,DAMAGED,Inactive,POINT (115.55 -32.04),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT58,CURTAIN,VR2W-119448,2022-02-04T01:33:00Z,2025-05-09T02:48:00Z,RECOVERED,Inactive,POINT (115.55 -32.05),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT59,CURTAIN,VR2W-134683,2022-02-04T02:06:00Z,2025-06-10T21:47:00Z,DAMAGED,Inactive,POINT (115.56 -32.05),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT60,CURTAIN,VR2W-134710,2022-02-04T02:32:00Z,2025-05-01T06:44:00Z,RECOVERED,Inactive,POINT (115.56 -32.06),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT61,CURTAIN,VR2W-134663,2022-02-16T00:17:00Z,2025-05-01T03:02:00Z,RECOVERED,Inactive,POINT (115.57 -32.07),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT62,CURTAIN,VR2W-134667,2022-02-16T00:51:00Z,2025-05-01T07:26:00Z,DAMAGED,Inactive,POINT (115.57 -32.07),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT63,CURTAIN,VR2W-134655,2022-02-04T03:05:00Z,2025-04-29T05:04:00Z,RECOVERED,Inactive,POINT (115.58 -32.08),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT64,CURTAIN,VR2W-135906,2022-02-02T08:42:00Z,2025-04-29T05:02:00Z,RECOVERED,Inactive,POINT (115.58 -32.08),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT65,CURTAIN,VR2W-135890,2022-02-02T08:10:00Z,2025-05-01T02:57:00Z,LOST,Inactive,POINT (115.59 -32.09),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT66,CURTAIN,VR2W-135908,2022-02-02T07:38:00Z,2025-04-30T02:50:00Z,RECOVERED,Inactive,POINT (115.6 -32.09),true
acoustic_installation_summary_map.IMOS-ATF / OTN Perth line.IMOS-ATF / OTN Perth line.PRT67,CURTAIN,VR2W-135947,2022-02-02T07:12:00Z,2025-04-30T05:49:00Z,RECOVERED,Inactive,POINT (115.6 -32.1),true
