Dot Point Measurements

Generated: Thursday 26 September 2024 07:20:46

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	scientific						Radius %
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		999	674											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							69.2
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		659	1309											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							49.9
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1055	1810											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							18.1
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		946	607											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							73.3
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		838	516											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							79.5
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		889	1487											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							34.9
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		853	1248											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							45.4
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1065	125											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							96.2
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		961	213											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							92.8
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1976	1289											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							46.6
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1852	1314											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							41.6
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1834	1479											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							34.5
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1855	1587											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							31.6
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2074	1601											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							40.8
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1684	52											2023-09_Dampier_BOSS	no	DM-DC-004	1					Unscorable								100.0
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1857	832											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							63.5
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1968	1537											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							37.8
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1876	1070											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							52.9
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2127	348											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							92.1
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2007	1430											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							42.8
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1886	336											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							88.1
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1903	832											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							64.4
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1833	255											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							91.3
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1739	1052											2023-09_Dampier_BOSS	no	DM-DC-004	1					Unscorable								50.6
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2001	609											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							77.0
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1676	1667											2023-09_Dampier_BOSS	no	DM-DC-004	1					Unscorable								21.8
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2131	868											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							68.8
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1644	391											2023-09_Dampier_BOSS	no	DM-DC-004	1					Unscorable								82.3
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2064	1010											2023-09_Dampier_BOSS	no	DM-DC-004	1					Substrate	Unconsolidated (soft)							60.8
