Dot Point Measurements

Generated: Wednesday 25 September 2024 15:02:35

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		139	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1													100.0
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		408	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1													94.2
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		677	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1					Relief	Flat		0					90.1
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		946	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1					Relief	Flat		0					88.0
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1214	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1													88.0
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1483	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1													90.1
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		1752	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1					Relief	Flat		0					94.2
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		2021	197											2023-09_Dampier_BOSS	yes	DM-DC-004	1					Relief	Flat		0					100.0
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		139	580											2023-09_Dampier_BOSS	yes	DM-DC-004	1													83.4
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		408	580											2023-09_Dampier_BOSS	yes	DM-DC-004	1													76.4
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		677	580											2023-09_Dampier_BOSS	yes	DM-DC-004	1					Relief	Flat		0					71.3
20230920_01_DM-DC-004_01_20230920_01_T_0003_0001.mp4_0070417.jpg	      0		946	580											2023-09_Dampier_BOSS	yes	DM-DC-004	1					Relief	Flat		0					68.6
