"","reef","geoscience_depth","geoscience_aspect","geoscience_roughness","geoscience_detrended","status"
"total_abundance",0.624,0,0.455,0.16,0.245,0.379
"species_richness",0.719,0,0.332,0.235,0.719,0.296
"cti",0.189,0.308,0.357,0.336,0.18,0.112
