Dot Point Measurements

Generated: Friday 27 September 2024 08:43:22

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		941	1342											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-02	1					Relief	Low / moderate	Low (<1m)	1					64.2
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		139	1724											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-02	1													100.0
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		406	1724											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-02	1													89.9
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		674	1724											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-02	1					Relief	Low / moderate	Low (<1m)	1					89.9
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		941	1724											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-02	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		135	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													100.0
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		405	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													89.8
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		674	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													89.8
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		944	192											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1					Relief	Low / moderate	Low (<1m)	1					100.0
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		135	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													64.3
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		405	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													46.9
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		674	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													46.9
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		944	576											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1					Relief	Low / moderate	Low (<1m)	1					64.3
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		135	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													46.6
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		405	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													15.5
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		674	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													15.5
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		944	959											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1					Relief	Low / moderate	Low (<1m)	1					46.6
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		135	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													64.3
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		405	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													46.9
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		674	1343											2023-09_Dampier_stereo-BRUVs	Yes	DM-BV-03	1													46.9
